"5","1","Kareem","{""minZscore"":0,""maxZscore"":10,""minGpa"":1,""maxGpa"":4,""minHeight"":60,""maxHeight"":84,""minWeight"":150,""maxWeight"":400,""year"":[],""statuses"":[],""states"":[],""firstName"":""kareem"",""positions"":[],""coaches"":[],""includePredicted"":false}"
"7","1","QB Commits","{""minZscore"":0,""maxZscore"":10,""minGpa"":1,""maxGpa"":4,""minHeight"":60,""maxHeight"":84,""minWeight"":150,""maxWeight"":400,""year"":[],""statuses"":[{""id"":0}],""states"":[],""positions"":[{""id"":""QB""}],""coaches"":[],""includePredicted"":false}"
"8","1","Jordans","{""minZscore"":0,""maxZscore"":10,""minGpa"":1,""maxGpa"":4,""minHeight"":60,""maxHeight"":84,""minWeight"":150,""maxWeight"":400,""year"":[],""statuses"":[],""states"":[],""firstName"":null,""lastName"":""Jordan"",""highSchool"":null,""positions"":[],""coaches"":[],""includePredicted"":false}"
"10","1","Morty's Angels","{""minZscore"":0,""maxZscore"":10,""minGpa"":1,""maxGpa"":4,""minHeight"":60,""maxHeight"":84,""minWeight"":150,""maxWeight"":400,""year"":[],""statuses"":[],""states"":[],""firstName"":null,""lastName"":null,""highSchool"":null,""positions"":[],""coaches"":[{""id"":2}],""includePredicted"":false}"
"13","1","RB & WR, 1s and 2s","{""minZscore"":0,""maxZscore"":10,""minGpa"":1,""maxGpa"":4,""minHeight"":60,""maxHeight"":84,""minWeight"":150,""maxWeight"":400,""year"":[{""id"":2015},{""id"":2016},{""id"":2017},{""id"":2018},{""id"":2019},{""id"":2020}],""statuses"":[{""id"":1},{""id"":2}],""states"":[],""firstName"":null,""lastName"":null,""highSchool"":null,""positions"":[{""id"":""WR""},{""id"":""RB""}],""coaches"":[],""includePredicted"":true}"
"14","1","CA players","{""minZscore"":5,""maxZscore"":10,""minGpa"":1,""maxGpa"":4,""minHeight"":60,""maxHeight"":84,""minWeight"":150,""maxWeight"":400,""year"":[],""statuses"":[],""states"":[{""id"":""CA""}],""firstName"":null,""lastName"":null,""highSchool"":null,""positions"":[],""coaches"":[],""includePredicted"":false}"
